bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
4468,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.69059198345, 9.15229796393911","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 01.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Benedikt-Bauer-Straße 6, 78467 Konstanz, Germany                    ","
            Schaukelbefestigung defekt

        ","NA"
4469,"NA","NA","NA","NA","NA","NA","NA","NA"
4470,"NA","NA","NA","NA","NA","NA","NA","NA"
4471,"NA","NA","NA","NA","NA","NA","NA","NA"
4472,"NA","NA","NA","NA","NA","NA","NA","NA"
4473,"NA","NA","NA","NA","NA","NA","NA","NA"
4474,"NA","NA","NA","NA","NA","NA","NA","NA"
4475,Beleuchtung > Straßenlaternen defekt,"47.6719424, 9.1927574","
                        
                                Stadtwerke Konstanz

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 02.02.2021 via api gestellt.
                        
                    
                ","Franz-Liszt-Straße 4(autom. ermittelt: Franz-Liszt-Straße 4, 78464 Konstanz, Germany                    ","
            Laterne an der Grundstücksgrenze Nr.4 und 6a, gegenüber Tiefgarageneinfahrt ist defekt.
(Adresssuche nach: Franz-Liszt-Straße 4)

        ","NA"
4476,"NA","NA","NA","NA","NA","NA","NA","NA"
4477,"NA","NA","NA","NA","NA","NA","NA","NA"
4478,"NA","NA","NA","NA","NA","NA","NA","NA"
4479,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6719565813363, 9.17693196887332","
                        
                                Technische Betriebe

                            
                            
                        
                    ",Gelöst,"
                    
                        
                            Diese Anfrage wurde am 03.02.2021 via api gestellt.
                        
                    
                ","keine(autom. ermittelt: Von-Emmich-Straße 13, 78467 Konstanz, Germany                    ","
            Seit einiger Zeit ist der Gehweg vor dem gekennzeichneten Gebäude sehr verschmutzt. Abgelegte gelbe Säcke sowie zahlreiche große Glasscherben liegen auf dem Gehweg. Die Hausbewohner scheinen wenig interessiert.

        ","NA"
4480,"NA","NA","NA","NA","NA","NA","NA","NA"
4481,"NA","NA","NA","NA","NA","NA","NA","NA"
4482,"NA","NA","NA","NA","NA","NA","NA","NA"
4483,"NA","NA","NA","NA","NA","NA","NA","NA"
4484,"NA","NA","NA","NA","NA","NA","NA","NA"
4485,"NA","NA","NA","NA","NA","NA","NA","NA"
4486,"NA","NA","NA","NA","NA","NA","NA","NA"
